id,yas,gelir,kredi_tutari,kredi_suresi_ay,mevcut_borc,borc_gelir_orani,calisma_durumu,egitim,medeni_durum,ev_sahibi,kredi_gecmisi,kredi_onay
1,32,17205,61193,18,13893,0.81,Emekli,Lisans,Bekar,Evet,Temiz,Onay
2,42,3264,50504,60,5211,1.6,Çalışıyor,Lisans,Evli,Hayır,Yeni,Onay
3,65,14773,47026,48,17414,1.18,İşsiz,Lisans,Bekar,Evet,Temiz,Onay
4,58,11191,23968,12,17412,1.56,Emekli,Lisans,Dul,Evet,Yeni,Ret
5,64,13188,60238,60,10781,0.82,Emekli,Doktora,Evli,Evet,Gecikmeli,Ret
6,47,4231,24568,12,5973,1.41,Emekli,Doktora,Dul,Hayır,Gecikmeli,Ret
7,50,4110,40708,24,1489,0.36,Emekli,Yüksek,Evli,Hayır,Temiz,Onay
8,59,8470,26907,24,7950,0.94,Çalışıyor,Doktora,Dul,Evet,Gecikmeli,Ret
9,29,14368,51692,60,3923,0.27,Öğrenci,Doktora,Bekar,Evet,Temiz,Onay
10,53,6440,45581,12,2462,0.38,Çalışıyor,Lisans,Dul,Hayır,Temiz,Onay
11,63,17107,49724,60,29363,1.72,Çalışıyor,Yüksek,Evli,Hayır,Gecikmeli,Ret
12,31,7421,50693,36,10538,1.42,Emekli,Lisans,Bekar,Evet,Gecikmeli,Ret
13,25,13746,62385,24,23479,1.71,Öğrenci,Yüksek,Evli,Hayır,Yeni,Ret
14,45,3089,50050,60,1102,0.36,Öğrenci,Lisans,Bekar,Hayır,Yeni,Ret
15,50,11125,38414,72,9568,0.86,İşsiz,Doktora,Bekar,Hayır,Yeni,Onay
16,45,10156,15649,48,1580,0.16,Emekli,Yüksek,Bekar,Evet,Gecikmeli,Ret
17,58,14209,31756,48,146,0.01,Emekli,Lisans,Evli,Evet,Gecikmeli,Ret
18,61,14267,63706,36,3163,0.22,Öğrenci,Lisans,Dul,Hayır,Gecikmeli,Ret
19,28,18302,49632,36,16788,0.92,Öğrenci,Lisans,Evli,Evet,Yeni,Onay
20,50,7673,59072,12,14308,1.86,Çalışıyor,Yüksek,Dul,Hayır,Gecikmeli,Ret
21,60,4163,57756,24,2126,0.51,İşsiz,Doktora,Dul,Evet,Gecikmeli,Ret
